route_id,agency_id,route_short_name,route_long_name,route_type,transport_type,circular,urban,night
3812,orgp,193,"ПР. КУЛЬТУРЫ - ЖК ""ЦВЕТНОЙ ГОРОД""",3,bus,0,1,0
3918,orgp,351Б,Ж.-Д. СТАНЦИЯ НОВЫЙ ПЕТЕРГОФ - Ж.-Д. СТАНЦИЯ СТАРЫЙ ПЕТЕРГОФ,3,bus,0,1,0
4055,orgp,194,"ООО ""ХЁНДЕ МОТОР МАНУФАКТУРИНГ РУС"" - СТАНЦИЯ МЕТРО ""КОМЕНДАНТСКИЙ ПРОСПЕКТ""",3,bus,0,1,0
4095,orgp,385,"АВТОБУСНАЯ СТАНЦИЯ ""ЖЕЛЕЗНОДОРОЖНАЯ УЛ."" - ПОС. ШУШАРЫ, СТАРОРУССКИЙ ПР.",3,bus,0,1,0
223,orgp,138,ПЛ. МУЖЕСТВА - КРЕМАТОРИЙ,3,bus,0,1,0
224,orgp,136,"Ж.-Д. СТАНЦИЯ ""РУЧЬИ"" - СТАНЦИЯ МЕТРО ""ЧЕРНЫШЕВСКАЯ""",3,bus,0,1,0
225,orgp,22,УЛ. СТАСОВОЙ - ДВИНСКАЯ УЛ.,3,bus,0,1,0
226,orgp,137,"АВТОБУСНАЯ СТАНЦИЯ ""ЛАДОЖСКАЯ"" - СТ. МЕТРО ""ЧЁРНАЯ РЕЧКА""",3,bus,0,1,0
241,orgp,174,"АВТОБУСНАЯ СТАНЦИЯ ""БЕЛОРУССКАЯ УЛ."" - ГРАНИТНАЯ УЛ.",3,bus,0,1,0
234,orgp,102,"АВТОБУСНАЯ СТАНЦИЯ ""ПР. КУЛЬТУРЫ"" - СТАНЦИЯ МЕТРО ""ПРОСПЕКТ БОЛЬШЕВИКОВ""",3,bus,0,1,0
240,orgp,153,"А.С. ""ХАСАНСКАЯ УЛ."" - ПР. КУЛЬТУРЫ",3,bus,0,1,0
228,orgp,15,БЕЛОРУССКАЯ УЛ. - ПЛ. ВОССТАНИЯ,3,bus,0,1,0
231,orgp,30,"СТАНЦИЯ МЕТРО ""ЛАДОЖСКАЯ"" - РЯБОВСКОЕ ШОССЕ, Д.117",3,bus,0,1,0
233,orgp,77,"БЕЛОРУССКАЯ УЛ. - СТАНЦИЯ МЕТРО ""ЛАДОЖСКАЯ""",3,bus,0,1,0
237,orgp,123,"СТАНЦИЯ МЕТРО ""ЛАДОЖСКАЯ"" - А.С. ""УЛ. ЖЕНИ ЕГОРОВОЙ""",3,bus,0,1,0
229,orgp,24,"ХАСАНСКАЯ УЛ. - СТ. МЕТРО ""ВАСИЛЕОСТРОВСКАЯ""",3,bus,0,1,0
236,orgp,107,"АВТОБУСНАЯ СТАНЦИЯ ""ПИСКАРЁВКА"" - ФИНЛЯНДСКИЙ ВОКЗАЛ",3,bus,0,1,0
238,orgp,132,"АВТОБУСНАЯ СТАНЦИЯ ""РУЧЬИ"" - СТ. МЕТРО ""ПЛОЩАДЬ АЛЕКСАНДРА НЕВСКОГО""",3,bus,0,1,0
239,orgp,133,"Ж.-Д. СТАНЦИЯ ""РУЧЬИ"" - ФИНЛЯНДСКИЙ ВОКЗАЛ",3,bus,0,1,0
242,orgp,469,"СТАНЦИЯ МЕТРО ""УЛИЦА ДЫБЕНКО"" - САДОВОДСТВО ""ВОСХОД-2""",3,bus,0,0,0
243,orgp,485,"АВТОБУСНАЯ СТАНЦИЯ ""РЕКА ОККЕРВИЛЬ"" - САДОВОДСТВО ""ЧЕРНАЯ РЕЧКА""",3,bus,0,0,0
221,orgp,103,"Ж.-Д. СТАНЦИЯ СТАРЫЙ ПЕТЕРГОФ - СТАНЦИЯ МЕТРО ""ЛЕНИНСКИЙ ПРОСПЕКТ""",3,bus,0,1,0
235,orgp,106,"АВТОБУСНАЯ СТАНЦИЯ ""ПИСКАРЕВКА"" - ФИНЛЯНДСКИЙ ВОКЗАЛ",3,bus,0,1,0
230,orgp,27,БЕЛОРУССКАЯ УЛ. - ТЕАТРАЛЬНАЯ ПЛ.,3,bus,0,1,0
232,orgp,33,"АВТОБУСНАЯ СТАНЦИЯ ""ПИСКАРЁВКА"" - СТ. МЕТРО ""ЧЁРНАЯ РЕЧКА""",3,bus,0,1,0
324,orgp,85,"АВТОБУСНАЯ СТАНЦИЯ ""УЛ. ШАВРОВА"" - СТАНЦИЯ МЕТРО ""ОЗЕРКИ""",3,bus,0,1,0
336,orgp,178,"АВТОБУСНАЯ СТАНЦИЯ ""ПР. КУЛЬТУРЫ"" - АВТОБУСНАЯ СТАНЦИЯ ""ПИСКАРЁВКА""",3,bus,0,1,0
